year,gender,position_of_author,count
2015,M,37,2
2015,M,38,1
2015,M,40,2
2015,M,41,2
2015,M,42,1
2015,M,43,2
2015,M,44,2
2015,M,46,2
2015,M,47,2
2015,M,48,1
2015,M,49,2
2015,M,51,2
2015,M,52,1
2015,M,53,2
2015,M,54,2
2015,M,55,1
2015,M,56,1
2015,M,57,1
2015,M,58,1
2015,M,59,1
2015,M,60,1
2015,M,62,1
2015,M,63,1
2015,M,66,1
2015,M,67,1
2015,M,68,1
2015,M,69,1
2016,F,0,1806
2016,F,1,1587
2016,F,2,1215
2016,F,3,811
2016,F,4,469
2016,F,5,204
2016,F,6,110
2016,F,7,55
2016,F,8,23
2016,F,9,16
2016,F,10,9
2016,F,11,8
2016,F,12,6
2016,F,13,6
2016,F,14,4
2016,F,15,3
2016,F,16,1
2016,F,17,2
2016,F,19,1
2016,F,20,3
2016,F,22,1
2016,F,25,1
2016,F,27,1
2016,F,30,1
2016,F,33,1
2016,F,34,1
2016,M,0,5162
2016,M,1,4938
2016,M,2,3983
2016,M,3,2493
2016,M,4,1401
2016,M,5,733
2016,M,6,322
2016,M,7,159
2016,M,8,82
2016,M,9,49
2016,M,10,30
2016,M,11,19
2016,M,12,20
2016,M,13,14
2016,M,14,15
2016,M,15,9
2016,M,16,10
2016,M,17,7
2016,M,18,6
2016,M,19,3
2016,M,20,2
2016,M,21,5
2016,M,22,3
2016,M,23,2
2016,M,24,2
2016,M,25,1
2016,M,26,2
2016,M,27,1
2016,M,28,2
2016,M,29,2
2016,M,30,1
2016,M,31,2
2016,M,32,2
2016,M,33,1
2016,M,34,1
2016,M,35,2
2016,M,36,2
